level1;level2;level3;level4;level5;tooltip;source;source_url;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;level
ECONOMIC & WORKFORCE DEVELOPM;WIA-2007-2009;BC/BS HEALTH INS - CITY;;;;;;0;0;0;13112;2886;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;WIA-2007-2009;RETIREMENT CONTRIBUTIONS-LGERS;;;;;;0;0;0;5135;994;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;WIA-2007-2009;SPECIALIZED DEPARTMENT SUPPLIE;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;WIA-2007-2009  Total;;;;;;;0;0;0;1081268;307814;1583;0;0;0;0;0;0;99274;2
ECONOMIC & WORKFORCE DEVELOPM;WIA-2008-2010;LONGEVITY;;;;;;0;0;0;0;1500;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;WIA-2008-2010;FICA EXPENSE;;;;;;0;0;0;0;21720;6141;0;0;0;0;0;0;-7253;3
ECONOMIC & WORKFORCE DEVELOPM;WIA-2008-2010;DENTAL INSURANCE PREMIUM;;;;;;0;0;0;0;1718;285;0;0;0;0;0;0;-281;3
ECONOMIC & WORKFORCE DEVELOPM;WIA-2008-2010;OTHER OPERATING COSTS;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;WIA 2009-2011;FICA EXPENSE;;;;;;0;0;0;0;0;17362;4096;869;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;WIA 2009-2011;OFFICE SUPPLIES;;;;;;0;0;0;0;0;747;-182;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;WIA 2009-2011;FACILITY RENT;;;;;;0;0;0;0;0;61279;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;WIA 2009-2011;ELECTRICITY;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;WIA 2009-2011;WATER;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;WIA 2009-2011;TRAVEL;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;WIA 2009-2011;DUES & PROFESSIONAL MEMBERSHIP;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;WIA 2009-2011;SUBSCRIPTIONS;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;WIA 2010-2011;FICA EXPENSE;;;;;;0;0;0;0;0;0;19685;3449;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;WIA 2010-2011;ICMA RET HEALTH SAVINGS PLAN;;;;;;0;0;0;0;0;0;699;28;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;WIA 2010-2011  Total;;;;;;;0;0;0;0;0;0;1609404;616088;36223;0;0;0;0;2
ECONOMIC & WORKFORCE DEVELOPM;WIA-CITY & OLD FUNDS;TRANSFER OUT - OTHER SRF;;;;;;0;0;0;0;0;0;0;0;71412;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;WIA-CITY & OLD FUNDS  Total;;;;;;;0;0;0;0;0;0;0;0;71412;0;0;0;0;2
ECONOMIC & WORKFORCE DEVELOPM;WIA-CITY-2002-2003;PART-TIME PERSONNEL;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;WIA-CITY-2002-2003;LONGEVITY;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;WIA-CITY-2002-2003;RETIREMENT CONTRIBUTIONS-LGERS;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;WIA-CITY-2002-2003;PRINTING & DUPLICATION;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;WIA-CITY FUNDING-2002-2003;MEDICARE EXPENSE;;;;;;2086;24;66;0;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;WIA-CITY FUNDING-2002-2003;HEALTH INSURANCE;;;;;;177;0;0;0;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;WIA-CITY FUNDING-2002-2003;BC/BS HEALTH INS - CITY;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;WIA-CITY FUNDING-2002-2003;PRINTING & DUPLICATION;;;;;;258;0;0;0;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;WIA-CITY FUNDING-2002-2003;SANITATION & CLEANING MATERIAL;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;WIA-CITY FUNDING-2002-2003;SPECIALIZED DEPARTMENT SUPPLIE;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;WIA-CITY FUNDING-2002-2003;AUTOMOTIVE & VEHICLE MAINTENAN;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;WIA-CITY FUNDING-2003-2004;MEDICARE EXPENSE;;;;;;2489;0;51;0;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;WIA-CITY FUNDING-2003-2004;DENTAL INSURANCE PREMIUM;;;;;;485;0;0;0;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;WIA-CITY FUNDING-2003-2004;MENTAL HEALTH INSURANCE PREMIU;;;;;;251;0;0;0;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;WIA-CITY FUNDING-2003-2004;WELLPATH CITY SUPPLEMENT;;;;;;3777;0;0;0;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;WIA-CITY FUNDING-2003-2004;COMMUNICATIONS;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;WIA-CITY FUNDING-2003-2004;TELEPHONE SYSTEM MODIFICATION;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;WIA-CITY FUNDING-2003-2004;GASOLINE;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;WIA-CITY FUNDING-2003-2004;TRAVEL;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;WIA-CITY FUNDING-2003-2004;SPECIAL CONTRACTUAL SERVICES;;;;;;4761;0;0;0;0;0;0;0;0;0;0;0;0;3
