level1;level2;level3;level4;level5;tooltip;source;source_url;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;level
UNDEFINED;GENERAL FUND;DURHAM-ARTICLE 40 - 1/2% SALES;;;;;;0;7179094;8001250;8231805;7543504;7305076;7589786;7931062;8166553;8657446;9572339;10257380;0;3
UNDEFINED;GENERAL FUND;HOLDING ACCOUNT DELINQUENT LEV;;;;;;0;1557048;1358005;1476313;934691;1374387;0;0;0;0;0;0;0;3
UNDEFINED;GENERAL FUND;CLEARING ACCOUNT DELINQUENT LE;;;;;;0;-1557048;-1358005;0;0;0;0;0;0;0;0;0;0;3
UNDEFINED;GENERAL FUND;BID - CURRENT YEAR'S LEVY;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3
UNDEFINED;GENERAL FUND;CL-VEH TAX-WAKE COUNTY;;;;;;0;0;0;0;0;0;0;0;0;0;0;2174;0;3
UNDEFINED;GENERAL FUND;INTEREST;;;;;;0;376513;361113;369976;387903;402103;371670;333252;354313;405824;269636;242459;372376;3
UNDEFINED;GENERAL FUND;WAKE CO - DELQ LEVY;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;NEIGHBORHOOD REVITALIZATION;TRANSFER FROM THE GENERAL FUND;;;;;;250000;0;0;0;500000;0;0;0;0;0;0;-750000;750000;3
ECONOMIC & WORKFORCE DEVELOPM;2010 AB 2005 BONDS;2005 GENERAL OBLIGATION BONDS;;;;;;0;0;0;0;0;0;0;0;0;0;204712;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;2008 AB 2005 BONDS;2005 GENERAL OBLIGATION BONDS;;;;;;0;0;0;0;0;0;0;0;0;0;95233;0;0;3
EMERGENCY COMMUNICATION;EMERGENCY TELEPHONE SYSTEM FUN;TRANSFERS FROM RESERVES;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;3
ECONOMIC & WORKFORCE DEVELOPM;ECON & EMP DEV GASB 34 CONV Total;;;;;;;0;-1140;-5485;-79388;0;0;0;0;0;0;0;0;0;2
EMERGENCY COMMUNICATION;EMERGENCY COMM GASB 34 CONV Total;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;2
EMERGENCY COMMUNICATION;911 WIRELESS SURCHARGE Total;;;;;;;0;0;1585414;221706;0;0;0;0;0;0;0;0;0;2
ECONOMIC & WORKFORCE DEVELOPM;2005 ABC GO BONDS Total;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;2
ECONOMIC & WORKFORCE DEVELOPM Total;;;;;;;;2484675;4459544;4962517;4573090;6154475;6594874;3115510;3513718;4138952;3520606;3871070;1111131;5689380;1
